,tsne-2d-one,tsne-2d-two
209,-28.64217,68.98162
210,-3.7623346,50.06701
211,-37.87978,1.092268
212,-9.047569,68.94714
213,20.47147,5.5916424
214,-25.892763,57.07331
215,53.862286,2.6993818
216,18.628914,-6.567555
217,-3.0981882,-16.229717
218,-38.159172,1.7812288
219,-22.884897,-11.921157
220,-31.20331,53.001465
221,43.853203,-3.9556196
222,-2.6068177,-55.129704
223,-69.5752,18.225609
224,-25.133854,-48.88083
225,0.32825324,-26.915512
226,3.7814417,18.87131
227,-21.069588,35.83579
228,-29.702919,-52.90762
229,-60.889473,35.367966
230,25.194075,-3.506867
231,25.361843,-0.95230216
232,8.327597,11.903392
233,-4.8861823,25.75217
234,-47.92277,29.817728
235,-34.926098,62.113
236,12.907188,-25.388641
237,17.741182,-49.7585
238,-11.535675,38.84463
239,-50.53491,-30.459984
240,18.056623,21.546463
241,17.606173,28.848688
242,-13.873524,-1.9805514
243,-48.561302,34.88469
244,-7.28115,-28.492067
245,40.215378,38.08835
246,67.534904,23.090927
247,46.218533,-52.513165
248,-4.2642207,47.547543
249,11.691059,-47.681652
250,-10.407717,43.85946
251,-58.031765,-23.879824
252,-36.30224,61.868916
253,7.2321672,-3.063442
254,-59.608807,47.53658
255,-49.439568,31.389938
256,2.8565674,-32.04862
257,10.209708,7.845356
258,16.50782,-42.500946
259,57.4386,-28.00838
260,-13.773804,-7.9920874
261,-39.646347,-3.693023
262,-50.156094,65.6747
263,-59.772774,42.168755
264,-19.259039,49.671177
265,-55.26519,-36.348015
266,49.276897,-1.6844128
267,-51.54036,-39.814884
268,27.526628,11.14156
269,82.400475,8.266809
270,27.499144,32.82894
271,54.082367,6.7930055
272,-51.41552,-30.813854
273,-31.55279,37.20837
274,-16.233393,61.741184
275,-18.367958,58.06983
276,-41.24528,-49.494366
277,-1.7290571,13.933599
278,12.072181,-36.285187
279,-49.294006,-29.768122
280,11.708828,-49.406746
281,-36.075333,30.79451
282,-46.242863,31.703249
283,-37.90295,0.34973451
284,-9.526602,64.09291
285,12.012713,-25.285116
286,42.905743,-46.740463
287,6.9015064,53.581013
288,-41.08246,-46.321007
289,17.149343,26.350658
290,11.710759,34.94947
291,13.453373,-54.43258
292,-17.675156,62.582924
293,8.630153,-33.99873
294,53.925697,12.550471
295,-8.020209,59.35756
296,77.32125,10.148885
297,80.81707,-9.968455
298,-0.6861536,-53.152473
299,0.33764255,4.6158566
300,-29.914854,-37.375237
301,-48.643646,32.37138
302,-56.469204,-31.534832
303,-4.3417335,-45.4774
304,-24.34493,30.738289
305,77.18359,-20.189133
306,10.128157,-46.839622
307,-46.68166,31.004396
308,-19.337715,27.18664
309,38.252132,4.285293
310,28.031937,6.4273906
311,63.133423,19.969355
312,56.62628,5.0210476
313,35.671715,33.48444
314,-55.381466,-35.22892
315,-31.967258,36.664288
316,31.248436,-58.174667
317,-35.71894,-13.693241
318,42.962467,-1.8355142
319,41.257492,18.63342
320,-54.81253,-17.429777
321,-48.307194,20.744017
322,-32.24333,66.445015
323,27.160624,-5.2481723
324,51.253967,11.815296
